,label,text
0,seborrheic_dermatitis,"The skin on my face is peeling and the pores are still a bit big."
1,seborrheic_dermatitis,"I have a lot of dandruff on my scalp. I don’t know if it’s folliculitis or seborrheic dermatitis. My scalp is very itchy."
2,seborrheic_dermatitis,"My scalp has been itchy recently, and washing my hair doesn’t help."
3,acute_bronchitis,"I have a runny nose, sneezing, and my forehead feels a little hot."
4,acute_bronchitis,"My throat is inflamed and I suddenly start coughing violently, feeling short of breath and feeling uncomfortable in my chest."
5,acute_bronchitis,"I've been coughing for three or four days. The past two days have been bad, with yellow phlegm and an itchy throat."
6,gastritis,"I often belch when eating, and also burp after eating. Occasionally acid reflux. But my stomach didn't feel uncomfortable or hurt at all. If you have bowel sounds, you will hear it several times."
7,gastritis,"I always feel hungry. I have had stomach discomfort for a few days."
8,gastritis,"My stomach has been bloated these days and I feel full after eating a little."
9,dysphagia,"I have severe sore throat, difficulty in swallowing and general weakness."
10,acute_bronchitis,"I have severe sore throat, difficulty in swallowing and general weakness."
11,dysphagia,"I feel like something is choking in my throat and esophagus, I like to hiccup, and I have difficulty swallowing when drinking water."
12,esophagitis,"I feel like something is choking in my throat and esophagus, I like to hiccup, and I have difficulty swallowing when drinking water."
13,esophagitis,"I have not been able to drink water smoothly. I have a feeling of blockage and obstruction. I have a stabbing pain in the middle of my chest."
14,asthma,"I have chest tightness, breathlessness, cough and runny nose. I can hear phlegm when I breathe through my mouth."
15,asthma,"I always feel like there is something blocked in my throat and I can't breathe. I cough and my whole chest feels stuffy."
16,peptic_ulcer,"I have vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, indigestion."
17,diabetes,"I have fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria."
18,diabetes,"I have weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria."
19,hypertension,"I have headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration."
20,hypertension,"I have chest_pain, dizziness, loss_of_balance, lack_of_concentration."
21,migraine,"I have acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances."
22,migraine,"I have indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances."
23,cervical_spondylosis,"I have back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance."
24,chickenpox,"I have itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body."
25,varicose_veins,"I have fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf."
26,hypothyroidism,"I have fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation."
27,chondromalacia_patella,"My knee hurts a bit."
28,pharyngitis,"I have a sore throat."
28,pneumonia,"I've been coughing and having chills lately."

